method,n_queries,article_hit@1,article_hit@5,article_hit@10,passage_recall@1,passage_recall@5,passage_recall@10,ndcg@1,ndcg@5,ndcg@10,mrr,article_mrr
tfidf,300.0,0.6533333333333333,0.8266666666666667,0.87,0.26970843632429,0.46746603554530386,0.5272114895041724,0.6533333333333333,0.5180566746847319,0.532050862120661,0.729026455026455,0.729026455026455
dense,300.0,0.7766666666666666,0.8866666666666667,0.9033333333333333,0.3124424060582597,0.5528023322657469,0.6244661422588252,0.7766666666666666,0.6163274408465502,0.6324410165007446,0.8204761904761905,0.8204761904761905
hybrid,300.0,0.7833333333333333,0.91,0.94,0.3073416734575271,0.5530689696482379,0.628549272091955,0.7833333333333333,0.6257745100400245,0.6396530898756747,0.841515873015873,0.841515873015873
