method,n_queries,article_hit@1,article_hit@5,article_hit@10,passage_recall@1,passage_recall@5,passage_recall@10,ndcg@1,ndcg@5,ndcg@10,mrr,article_mrr
tfidf,300.0,0.6766666666666666,0.83,0.8666666666666667,0.2697317648476185,0.4770012688305371,0.5337864053290883,0.6766666666666666,0.5291236434513776,0.5408026341135153,0.7408306878306878,0.7408306878306878
dense,300.0,0.7466666666666667,0.8766666666666667,0.9066666666666666,0.29588937575522944,0.5385221553514237,0.622493920036603,0.7466666666666667,0.6012176072667114,0.623628849847872,0.8041084656084656,0.8041084656084656
hybrid,300.0,0.7666666666666667,0.91,0.9433333333333334,0.302980562346416,0.5499366945159628,0.6273765929192758,0.7666666666666667,0.6183941192332787,0.6344618828512977,0.8291335978835979,0.8291335978835979
