experiment,chunk_words,fields,method,n_queries,article_hit@1,article_hit@5,article_hit@10,passage_recall@5,ndcg@5,ndcg@10,mrr,article_mrr
chunk60_hybrid,60,body,hybrid,150.0,0.8,0.92,0.9333333333333333,0.3969240322428025,0.6690604267588323,0.6045245977262155,0.8535555555555555,0.8535555555555555
chunk120_hybrid,120,body,hybrid,150.0,0.8,0.92,0.92,0.6204616001282668,0.6854910415231827,0.6978185681083513,0.8468888888888889,0.8468888888888889
chunk240_hybrid,240,body,hybrid,150.0,0.8066666666666666,0.92,0.9333333333333333,0.794968253968254,0.7830389884142622,0.8007054351239777,0.8562222222222222,0.8562222222222222
title_only_dense,120,title,dense,150.0,0.9866666666666667,1.0,1.0,1.0,0.9950790633809526,0.9950790633809526,0.9933333333333333,0.9933333333333333
body_dense,120,body,dense,150.0,0.8266666666666667,0.9066666666666666,0.9333333333333333,0.6064498957832292,0.6801011821785957,0.6923422676545423,0.8651111111111112,0.8651111111111112
title_body_dense,120,title_body,dense,150.0,0.9866666666666667,0.9933333333333333,0.9933333333333333,0.8928375020041688,0.9570785505234528,0.9684241504507062,0.99,0.99
body120_tfidf,120,body,tfidf,150.0,0.7066666666666667,0.8466666666666667,0.8733333333333333,0.5418696488696488,0.5915683016199211,0.608507315889266,0.7638492063492063,0.7638492063492063
body120_dense,120,body,dense,150.0,0.8266666666666667,0.9066666666666666,0.9333333333333333,0.6064498957832292,0.6801011821785957,0.6923422676545423,0.8651111111111112,0.8651111111111112
body120_hybrid,120,body,hybrid,150.0,0.8,0.92,0.92,0.6204616001282668,0.6854910415231827,0.6978185681083513,0.8468888888888889,0.8468888888888889
